"avalanche.id","date","date.quality","hydrological.year","canton","local.name","start.zone.coordinates.x","start.zone.coordinates.y","coordinates.quality","start.zone.elevation","start.zone.slope.aspect","start.zone.inclination","forecasted.dangerlevel","number.dead","number.caught","number.fully.buried","activity"
20117,1998-12-13,0,"1998/99","SZ","Summerlaui / Jochli / Stooswald",692300,203950,25,1380,"N",38,3,1,1,0,"offpiste"
20119,1998-12-27,0,"1998/99","VS","L’Arolette / Croix de Fer ",563900,98225,25,2240,"N",36,2,1,1,1,"offpiste"
20123,1999-01-01,0,"1998/99","VS","Combe des Morts / Col du Gd St Bernard",579830,80030,25,2400,"NE",NA,3,1,4,1,"tour"
20125,1999-01-01,0,"1998/99","TI","Pécian / Sulle Coste",700750,153050,25,2540,"WSW",50,3,1,1,1,"tour"
20130,1999-01-06,0,"1998/99","BE","Inberg / Lauberhorn / Tschuggen / Kleine Scheidegg",639620,160150,25,2200,"NE",45,2,1,1,1,"tour"
20143,1999-02-01,0,"1998/99","VS","Les Lués Rares / Col de la Mouche / Tortin / Skigebiet Mont Fort",588800,105580,250,2560,"NE",43,3,1,6,3,"offpiste"
20149,1999-02-07,0,"1998/99","GR","Laviner da Gonda / Gonda-Lawine / Piz Chapisun - Inn",804650,186025,250,2840,"SSE",42,4,1,4,4,"transportation.corridor"
20150,1999-02-08,0,"1998/99","BE","Chläbischopflouena / Chläbischopflaui (Tschuggen / Schwarzes Band - In Gassen) / Wengen",638850,161300,100,2150,"W",52,4,2,2,2,"building"
20155,1999-02-11,0,"1998/99","GR","Leidbachmeder / Leidbach / Nüllisch Grat / Rinerhorn / Glaris",780760,178330,25,2280,"WNW",38,4,1,2,2,"offpiste"
20157,1999-02-13,0,"1998/99","VS","Grand Combe / Les Fontanets / Les Ruinettes / Verbier",585800,103750,25,2150,"W",43,3,1,1,1,"offpiste"
20163,1999-02-21,0,"1998/99","VS","Avalanche du Bréquet / Le Bréquet / Pte  du Prélet - La Confraric",608000,107400,100,2900,"WSW",NA,4,9,9,9,"other, mixed or unknown"
20164,1999-02-21,0,"1998/99","VS","Avalanche des Maures / Torrent des Maures / Col de Torrent - Prés de Villa - Cretta Reinar",607300,108550,100,2900,"WSW",NA,4,3,4,3,"transportation.corridor"
20167,1999-02-23,0,"1998/99","UR","Geisslaui / Widderlaui (Chli Wingällen - Egg - Maderanertal) / Golzern / Bristen",697540,183240,100,2750,"S",NA,5,1,1,1,"building"
20169,1999-02-23,0,"1998/99","VS","Trützilawine / Trützi / Trützital / Geschinerbach",662300,152000,1000,2600,"E",NA,5,1,1,1,"building"
20172,1999-03-09,0,"1998/99","GR","Diavolezza",794200,143400,25,2900,"NNE",42,2,1,1,1,"offpiste"
20182,1999-04-14,0,"1998/99","GR","Piz Radönt / Flüelapass",792610,177690,25,3020,"ENE",NA,2,1,3,0,"tour"
20186,1999-04-20,0,"1998/99","GR","Mot dal Gajer / Val Stipa / S-charl",821160,175620,100,2750,"NW",45,2,1,2,1,"tour"
20189,1999-06-28,0,"1998/99","UR","Clariden Nordwand / Urner Boden",709000,189060,25,3080,"N",55,NA,2,2,2,"tour"
20190,1999-07-03,0,"1998/99","BE","Lauteraarhorn / Südwand-Couloir",653080,159200,25,3880,"S",50,NA,1,1,0,"tour"
20202,1999-11-07,0,"1999/00","TI","Pizzo Rotondo",678750,152090,100,2930,"S",42,NA,2,2,2,"tour"
20207,1999-12-27,0,"1999/00","GR","Jakobihang / Skigebiet Gürgaletsch",763875,185365,25,2300,"NE",43,3,1,1,1,"transportation.corridor"
20213,1999-12-30,0,"1999/00","VS","L’Hospitalet / Skigebiet Super Saint-Bernard",580785,81806,25,2200,"WNW",41,3,1,17,2,"other, mixed or unknown"
20218,1999-12-31,0,"1999/00","GR","Murtera d’Ardez",808675,186365,25,2280,"SE",33,3,1,2,2,"tour"
20239,2000-01-30,0,"1999/00","BE","Gilbachegge / Sillerenbühl",606425,146940,25,1930,"ESE",NA,4,1,3,1,"offpiste"
20258,2000-02-05,0,"1999/00","VS","Six Jeur / Châtelard",561650,101900,25,1940,"E",37,2,2,3,2,"tour"
20268,2000-02-13,0,"1999/00","SG","Alp Plisen / Chäserrugg",743050,225450,25,1800,"N",40,2,1,1,1,"offpiste"
20276,2000-02-21,0,"1999/00","GR","Mittelgrat / Meierhofertälli / Skigebiet Parsenn",780970,189450,25,2615,"NE",NA,3,3,6,4,"offpiste"
20293,2000-02-26,0,"1999/00","BE","Elsighorn / Achsetberg",615170,153500,25,2190,"NW",50,2,1,2,1,"offpiste"
20298,2000-03-01,0,"1999/00","GR","Pischahorn",791410,187800,25,2970,"W",38,2,1,1,1,"tour"
20313,2000-04-18,0,"1999/00","VS","Plattjen / Mittaghorn",638360,104270,25,2580,"NNW",38,3,1,6,1,"transportation.corridor"
20319,2000-04-24,0,"1999/00","VS","Cabane du Velan",585250,85425,25,2415,"NNW",35,3,1,3,2,"tour"
20326,2000-09-10,0,"1999/00","VS","Nesthorn",637490,140340,25,3800,"NE",47,NA,2,2,0,"tour"
20401,2000-11-11,0,"2000/01","UR","Gemsstock ",689630,162030,25,2840,"WNW",43,3,1,3,1,"offpiste"
20403,2000-11-12,0,"2000/01","VS","Pte des Grands / Glacier des Berons",565265,95050,25,2920,"N",42,3,1,2,1,"offpiste"
20431,2001-01-13,0,"2000/01","GR","Piz Padella / Samedan",783650,156080,25,2800,"S",39,2,1,1,1,"tour"
20432,2001-01-13,0,"2000/01","VS","Arête des Ombrintses / Bella Tola",614100,121230,25,2560,"WNW",41,2,1,1,1,"offpiste"
20439,2001-01-16,0,"2000/01","VS","Täschehorn / Setzehorn",655530,146940,25,2990,"SE",42,2,1,1,1,"tour"
20446,2001-01-28,0,"2000/01","BE","Stierenberg",587540,134950,25,2000,"N",36,3,1,3,1,"tour"
20454,2001-02-03,0,"2000/01","VS","Eisfälle Plat de la Lé / Zinal",613920,106840,250,2500,"NE",NA,2,1,5,1,"tour"
20455,2001-02-03,0,"2000/01","VS","Plat de la Lé / Zinal",613170,106750,250,3000,"E",NA,2,2,8,3,"tour"
20459,2001-02-04,0,"2000/01","GR","Clis da Ravaisch",822530,204160,25,2060,"SSE",NA,3,1,1,1,"transportation.corridor"
20463,2001-02-04,0,"2000/01","SZ","Forstberg",705430,206700,25,1980,"N",39,4,1,1,1,"tour"
20464,2001-02-04,0,"2000/01","VS","Rindersattel / Rinderhorn",615930,141350,25,2800,"SW",37,3,1,2,2,"tour"
20470,2001-02-06,0,"2000/01","VS","Tête de Balme",563230,98215,25,2180,"N",43,3,3,5,4,"offpiste"
20482,2001-02-11,0,"2000/01","TI","Alpe Nuova / Pizzo Rotondo",679225,151115,25,2540,"SSE",40,2,3,3,3,"tour"
20490,2001-02-22,0,"2000/01","GR","Salinas / Alp Sadra",822680,165090,100,2300,"NE",33,2,2,7,3,"tour"
20492,2001-02-23,0,"2000/01","VS","Ernergalen / Lowigraben",657630,139535,25,2220,"NNW",43,3,1,2,0,"offpiste"
20494,2001-02-24,0,"2000/01","SZ","Hoch Ybrig / Laucherenstöckli / Mördergruebli",700715,207810,25,1660,"N",38,4,1,2,1,"offpiste"
20500,2001-02-27,0,"2000/01","GR","Erzböden / Erzhorn / Parpaner Rothorn",767380,179800,25,2380,"N",42,3,1,2,1,"offpiste"
20501,2001-02-27,0,"2000/01","NW","Schwalmis",680450,196930,25,2140,"N",39,3,1,2,2,"tour"
20505,2001-03-05,0,"2000/01","GR","Surettalückli",747380,154290,25,2660,"N",40,3,1,3,2,"tour"
20508,2001-03-13,0,"2000/01","VS","Hübschhorn",646720,120110,25,2500,"SW",40,3,1,1,1,"tour"
20519,2001-03-29,0,"2000/01","GR","Piz Valdraus / Glatscher da Lavaz",714960,165200,25,2540,"NNW",35,2,1,4,3,"tour"
20526,2001-05-19,0,"2000/01","GR","Piz Palü",794140,139530,25,3800,"N",42,NA,2,2,1,"tour"
20527,2001-05-24,0,"2000/01","BE","Guggihütte / Mönch",641150,157050,25,2740,"NW",NA,NA,1,2,1,"tour"
20528,2001-06-23,0,"2000/01","BE","Mittellegihütte",644670,159240,25,3340,"SSE",NA,NA,2,2,1,"tour"
20605,2001-12-28,0,"2001/02","SG","Zieger / Flumserberg",737590,214575,100,2060,"SSE",35,3,1,1,1,"offpiste"
20618,2001-12-31,0,"2001/02","VS","Col de Chassoure / Mont Gelé / Tortin",588100,105750,25,2700,"NNE",38,3,1,4,1,"offpiste"
20624,2002-01-02,0,"2001/02","BE","Galmschibe / Oberes Chirgeli / Diemtigtal",606860,155025,100,2360,"NNW",40,3,1,1,1,"tour"
20628,2002-01-03,0,"2001/02","GR","Parsenn / Casanna / Rude Dudehang",781200,192100,25,2400,"W",45,3,1,1,1,"offpiste"
20633,2002-01-13,0,"2001/02","GR","Amtmanntobel Totalp",782410,190070,25,2240,"E",37,2,1,1,1,"offpiste"
20634,2002-01-13,0,"2001/02","BE","Vordere Bütlasse / Kiental",629110,152420,25,2975,"WNW",39,1,2,3,1,"tour"
20638,2002-01-30,0,"2001/02","UR","Fellital - Schattig-Wichel / Fuorcla  da Giuv",695470,172410,25,2910,"NNW",43,2,1,1,1,"tour"
20639,2002-02-02,0,"2001/02","GR","Farurtal / Parpaner Schwarzhorn",764500,182530,25,2500,"NW",39,2,1,1,1,"offpiste"
20645,2002-02-13,0,"2001/02","BE","Schilthorn / Birg",632420,156760,25,2450,"E",37,2,1,1,1,"offpiste"
20650,2002-02-24,0,"2001/02","VS","Le Seudzay / Tête de la Payanne",581530,98960,100,2200,"N",37,3,1,1,1,"offpiste"
20651,2002-02-25,0,"2001/02","VS","Mt. Dolin",602150,97240,25,2480,"SE",40,3,1,2,1,"offpiste"
20653,2002-02-28,0,"2001/02","VS","Deischbach - Volli / Bettmeralp",649990,138880,25,2070,"E",45,3,1,1,1,"offpiste"
20655,2002-03-05,0,"2001/02","BE","Oldenegg",584920,133250,25,1900,"NNE",NA,3,1,1,1,"offpiste"
20656,2002-03-05,0,"2001/02","GR","Piz Vallatscha",820305,172570,25,2750,"ESE",40,3,3,5,4,"tour"
20657,2002-03-06,0,"2001/02","VD","La Para / La Pare",578060,136900,100,2450,"NE",NA,2,1,1,1,"tour"
20665,2002-04-21,0,"2001/02","BE","Doldenhorn",622480,146620,100,3450,"NW",NA,2,1,1,1,"tour"
20667,2002-04-27,0,"2001/02","VS","Mont Velan / Bourg St Bernhard",584990,82500,25,3600,"SW",45,2,2,2,0,"tour"
20668,2002-04-28,0,"2001/02","VS","Ritzhörner",668120,144620,100,3020,"N",37,2,1,1,1,"tour"
20669,2002-04-28,0,"2001/02","GR","Piz Grialetsch",792250,174500,25,3050,"N",45,2,1,1,1,"tour"
20673,2002-08-13,0,"2001/02","BE","Eiger W-Flanke",642300,158500,250,2900,"W",NA,NA,1,2,0,"tour"
20801,2002-11-03,0,"2002/03","VS","Sphinxstollen / Jungfraujoch",642025,155320,25,3480,"SE",NA,NA,1,2,1,"tour"
20829,2002-12-29,0,"2002/03","GR","Skigebiet Savognin",760610,158875,25,2220,"NNE",NA,3,2,5,2,"offpiste"
20848,2003-01-06,0,"2002/03","GR","Totalphorn / Skigebiet Parsenn",782445,189945,25,2245,"E",33,3,1,1,1,"offpiste"
20849,2003-01-06,0,"2002/03","VS","Pointe de Penne / Combe du Valsorey",584410,88215,25,2750,"WSW",40,3,3,3,3,"tour"
20851,2003-01-10,0,"2002/03","GR","Parpaner Rothorn",765550,179000,25,2810,"SSE",37,2,1,1,1,"offpiste"
20879,2003-02-04,0,"2002/03","GR","Brämabüel / Jakobshorn",784010,184135,25,2380,"NE",50,3,1,1,1,"offpiste"
20883,2003-02-05,0,"2002/03","VS","La Breya / Champex",573945,97175,25,1950,"NE",50,4,4,5,4,"offpiste"
21023,2003-02-08,0,"2002/03","VS","Alter Spittel / Magehorn / Simplonpass",643480,120900,25,2100,"SE",45,3,1,4,2,"tour"
21024,2003-02-09,0,"2002/03","GR","Piz Utèr / Crasta Burdun / Val Champagna",791475,155990,25,2960,"SW",37,3,1,1,1,"tour"
21029,2003-02-10,0,"2002/03","UR","Geissberg / Gemsstock",689920,164260,25,1980,"NNE",50,3,1,1,1,"offpiste"
21034,2003-02-11,0,"2002/03","VS","Corne de Sorebois / Val de Moiry",611100,111060,25,2680,"WSW",43,3,1,1,0,"offpiste"
21041,2003-02-24,0,"2002/03","GR","Wengahorn",763750,144700,25,2730,"ENE",40,1,1,2,1,"tour"
21066,2003-04-15,0,"2002/03","VS","Grand Tavé / Val de Bagnes",590500,93500,25,2990,"NE",45,2,1,1,0,"offpiste"
21067,2003-04-19,0,"2002/03","VS","Col de Sorebois / Zinal",611490,110325,25,2760,"E",42,1,1,1,1,"offpiste"
21108,2003-12-19,0,"2003/04","GR","Ofenpass / Munt Buffalora",815580,168430,25,2385,"ESE",37,2,1,2,2,"tour"
21117,2003-12-29,0,"2003/04","GR","Rinerhorn / Nüllisch Grat",780788,178439,25,2260,"NW",43,3,1,11,2,"offpiste"
21124,2003-12-30,0,"2003/04","BE","Tschingellochtighorn / Engstligenalp",611050,143810,25,2300,"SW",41,3,2,3,2,"tour"
21132,2004-01-04,0,"2003/04","VS","Einigs Alichji / Niwen / Goppenstein",621130,134450,25,2730,"SE",43,2,1,1,1,"tour"
21157,2004-01-15,0,"2003/04","GR","Ofenpass / Munt Buffalora",815545,168400,25,2400,"ESE",40,3,1,3,2,"tour"
21165,2004-01-17,0,"2003/04","VS","Mont Rogneux / Skigebiet Verbier",586450,106000,25,2650,"WSW",47,3,1,4,4,"offpiste"
21176,2004-01-25,0,"2003/04","VS","Col de la Chaux",589800,102760,25,2950,"SW",NA,3,1,1,1,"offpiste"
21191,2004-02-15,0,"2003/04","GR","Bäbischluocht / Sertig",783155,178495,25,2120,"NE",49,2,1,1,0,"offpiste"
21194,2004-02-21,0,"2003/04","VS","Crêta de Vella",579850,90750,25,2160,"NNW",41,2,1,2,1,"tour"
21246,2004-06-05,0,"2003/04","TI","Lago di Lucendro / Gotthardpass",684760,157755,25,2160,"SSE",39,NA,1,2,0,"tour"
21306,2004-12-22,0,"2004/05","SZ","Forstberg",705460,206570,25,2120,"N",38,3,1,2,1,"tour"
21307,2004-12-26,0,"2004/05","GR","Piz Davos Lais / Fimbertal",814910,196340,25,2610,"NNE",43,3,1,1,1,"tour"
21308,2004-12-27,0,"2004/05","VS","Col de Chassoure / Skigebiet Verbier",587650,106025,25,2700,"N",NA,3,1,1,1,"offpiste"
21314,2004-12-30,0,"2004/05","BE","Albristhorn / Färmelberg",605415,150110,25,2260,"NNW",38,3,1,1,1,"tour"
21315,2004-12-30,0,"2004/05","VS","Pigne d’Arolla",601800,92100,25,3220,"SSE",40,3,1,2,1,"tour"
21346,2005-01-23,0,"2004/05","VS","Ritzi / Maste 4 / Skigebiet Saas Fee",637125,104335,25,2325,"NW",38,3,1,1,1,"offpiste"
21347,2005-01-23,0,"2004/05","VS","Combe de la Chaux / Vallon d’Ertentse",602450,131200,25,2120,"NW",46,3,2,2,2,"offpiste"
21377,2005-02-05,0,"2004/05","GR","Gatschieferspitz",790070,189980,25,2485,"N",38,3,1,1,1,"tour"
21379,2005-02-05,0,"2004/05","GR","Leidbachfurgga",782170,176400,25,2805,"NW",45,3,1,2,2,"tour"
21383,2005-02-06,0,"2004/05","GR","Muntischè",789320,163100,25,2470,"ENE",33,3,2,2,2,"tour"
21386,2005-02-08,0,"2004/05","GR","Selva Alp / Inder Rossbodma",734075,161490,25,1940,"NNE",30,2,1,1,1,"tour"
21406,2005-02-20,0,"2004/05","GR","Churer Joch / Tschiertschen",762370,186190,25,1930,"WNW",43,3,1,2,1,"offpiste"
21413,2005-02-25,0,"2004/05","VS","Rochers de la Croix / Vallon de Novel",550440,134450,100,1460,"WNW",NA,3,2,3,2,"tour"
21427,2005-03-10,0,"2004/05","GR","Crap Sais / Val da Siat",730420,189210,25,2010,"SE",NA,3,1,1,1,"offpiste"
21428,2005-03-10,0,"2004/05","VS","Feegletscher / Längfluh",634360,102670,25,3290,"ENE",37,3,1,1,1,"tour"
21434,2005-03-12,0,"2004/05","BE","Gemschberg",649430,169310,25,2380,"SSE",43,2,1,2,1,"tour"
21440,2005-03-13,0,"2004/05","SG","Neuenalp / Alp Unterstofel",737700,229280,25,1350,"NW",36,3,1,1,1,"tour"
21453,2005-03-14,0,"2004/05","GL","Meerenboden / Tugsteinhorn",731200,215420,25,1780,"NW",35,3,3,3,3,"tour"
21483,2005-04-21,0,"2004/05","VS","Bec de la Montau",592950,108640,25,2900,"N",NA,2,2,4,3,"tour"
21485,2005-04-22,0,"2004/05","VS","Mont Rogneux",583880,95375,25,3050,"NNE",NA,3,1,3,1,"tour"
21615,2005-12-30,0,"2005/06","GR","Piz Griatschouls / Val d’Urezza",792130,166510,25,2680,"SE",37,2,1,1,1,"tour"
21626,2006-01-03,0,"2005/06","VS","Bec des Etagnes ",591150,104480,25,2850,"N",NA,3,1,1,1,"offpiste"
21638,2006-01-08,0,"2005/06","VD","Le Pacheu",577720,121540,25,2710,"WSW",NA,2,1,2,1,"tour"
21647,2006-01-20,0,"2005/06","OW/LU","Brienzer Rothorn / Tagweid",647330,182660,25,2020,"NNE",44,3,1,2,1,"offpiste"
21653,2006-01-21,0,"2005/06","SG","Sächsmoor / Skigebiet Flumserberg",736289,214918,25,2000,"NNW",38,3,1,4,1,"offpiste"
21654,2006-01-21,0,"2005/06","BE","Ochsen - Stierenberg (Gantrisch)",597630,172375,25,1835,"NNW",47,3,1,1,1,"tour"
21669,2006-01-30,0,"2005/06","GR","Skigebiet Savognin",760770,158800,25,2170,"NNE",NA,2,1,1,1,"offpiste"
21704,2006-02-19,0,"2005/06","VS","Mittelritz / Skigebiet Gornergrat",627200,93900,100,2820,"NW",31,3,1,1,1,"offpiste"
21705,2006-02-19,0,"2005/06","GR","Caral / Selva",798975,130000,25,2140,"NE",39,3,1,1,1,"tour"
21716,2006-02-20,0,"2005/06","GR","Val Acletta",704715,174299,25,2110,"N",NA,3,3,4,3,"offpiste"
21724,2006-02-21,0,"2005/06","VS","Skigebiet La Fouly",574895,86650,25,2060,"N",NA,3,1,1,1,"offpiste"
21726,2006-02-22,0,"2005/06","VS","Pointe de Bellevue - Combe de Dreveneuse",557650,123135,25,2000,"NNW",41,2,1,1,1,"tour"
21730,2006-02-23,0,"2005/06","GR","Vanatsch / Sedrun",703440,167260,25,2400,"W",37,3,1,1,1,"tour"
21734,2006-02-25,0,"2005/06","VS","Hohtälli / Gornergrat",626900,93020,25,2960,"NNE",39,3,1,1,1,"offpiste"
21744,2006-03-04,0,"2005/06","VD","La Palette (Skigebiet Isenau)",581500,135080,25,2100,"WNW",40,4,1,2,1,"tour"
21749,2006-03-06,0,"2005/06","BE","Schilthorn",630960,156220,25,2720,"ESE",41,3,1,1,0,"offpiste"
21755,2006-03-07,0,"2005/06","VS","Hohtälli / Gornergrat",628180,93600,25,3000,"N",37,3,1,2,1,"offpiste"
21778,2006-03-10,0,"2005/06","BE","Chlusi / Geissbüel",606080,144200,25,1980,"WNW",43,3,1,1,1,"offpiste"
21784,2006-03-13,0,"2005/06","GR","Leidbach (Skigebiet Rinerhorn)",780870,178225,25,2330,"WSW",37,3,1,2,1,"offpiste"
21785,2006-03-14,0,"2005/06","BE","Winterhalde / Käserstatt",660250,178520,25,1950,"N",41,3,1,3,3,"offpiste"
21794,2006-03-17,0,"2005/06","GR","Grialetsch",792765,175870,25,2635,"NNE",38,3,1,4,1,"tour"
21799,2006-03-19,0,"2005/06","VS","Gorge de la Menouve (Skigebiet Super Saint-Bernard)",581390,83020,25,2010,"NNW",NA,2,1,2,1,"offpiste"
21907,2007-01-01,0,"2006/07","BE","Lauenensee / Feissenberg / Follhore",592870,136660,100,2000,"W",39,3,1,2,1,"tour"
21923,2007-01-06,0,"2006/07","GR","Piz Punt Ota",796250,170725,25,2090,"ENE",23,3,1,1,1,"tour"
21929,2007-01-08,0,"2006/07","SG","Wildsee / Pizol",749130,203980,25,2570,"W",42,3,1,1,1,"tour"
21943,2007-02-13,0,"2006/07","VD","Berneuse / Joux d’Ai",566494,134416,25,2000,"ESE",NA,3,1,1,1,"offpiste"
21944,2007-02-14,0,"2006/07","VS","Tête de la Payanne ",581310,98660,25,2300,"NNW",45,3,2,2,2,"offpiste"
21952,2007-02-16,0,"2006/07","VS","Roc d’Orzival / Grimentz",607830,116300,25,2660,"E",40,3,1,1,1,"offpiste"
21981,2007-03-04,0,"2006/07","GR","Gmeinböden / Casanna / Parsenn",781250,192370,25,2440,"NE",38,3,1,1,1,"offpiste"
21982,2007-03-04,0,"2006/07","VS","Hohtälli / Gornergrat",628070,93100,25,3220,"W",36,3,1,1,1,"offpiste"
21985,2007-03-04,0,"2006/07","VD","La Pare / La Tournette / La Para",578070,136850,100,2400,"NE",NA,3,1,2,1,"tour"
22000,2007-03-10,0,"2006/07","VS","Col du Brochet / Geltenlücke",593500,132600,100,2800,"NNW",NA,2,1,3,2,"tour"
